start_date,end_date,start_time,end_time,repeat,sat,sun,mon,tue,wed,thur,fri,title,descriptionShort,description,link,price,suggestedDonation,location,address,lat,long
09/26/2015,09/26/2015,11:00:00,17:00:00,0,,,,,,,,pagan pride harvest fest,"Annual Festival with vendors, workshops, speakers, open ritual, performers.","NYC-PPD is proud to present their 15th annual NY Pagan Pride Harvest Festival, a communal celebration of all things Pagan! Join us on 9/26/15 in Washington Square Park to meet Pagans, Wiccans, Druids, Voodoo practitioners, Thelemics, and others as we participate in multi-denominational rituals and workshops. Browse vendor booths and buy marvelous magical merchandise of all kinds (jewelry, ritual items and tools, clothes, books, etc.), experience tarot and other readings, join in a drum circle, and visit information tables to learn about the variety of Pagan groups that meet in our city. All Pagan-friendly open-minded folk are welcome!",https://www.facebook.com/events/982557818441842/,0,0,washington square park,,40.7308228,-73.997332
09/26/2015,09/26/2015,11:30:00,14:00:00,0,,,,,,,,the punk rope games,"Double-dutch takes a whimsical turn at the punk rope games, now in their seventh year. watch contestants don sartorial dress and play to win in absurd, jump rope-inspired games at greenpoint’s newtown barge playground.","The Punk Rope Games were founded in 2009 and take place annually in New York City. The Games feature teams of 4 in costume competing in 10 fun and athletic events ranging from the sublime to the ridiculous. There are 4 individual, 2 partner, and 4 team events. Participants of all fitness levels are welcome. Space is limited to 16 teams.",http://punkrope.com/punk-rope-games/,10,1,Newtown Barge Playground,Commercial & DuPont Streets,40.7359336,-73.960045
09/30/2015,09/30/2015,21:00:00,,0,,,,,,,,twin peaks bingo,What better way to celebrate this groundbreaking show than to gather with fellow Twin Peaks lovers and play a damn fine game of bingo!,"Back in 1990 Rolling Stone called it “like nothing else on television.”
25 years later, it’s still like nothing else on television.
Twin Peaks radically changed the concept of prime time TV: its serialized format, its central mystery, its weirdness.  Unfortunately, it was so ahead of its time that just like its heroine Laura Palmer, it met with an untimely end, and after just 2 seasons it was canceled.
But Videology is bringing it back! No, we’re not producing the 3rd season here at Videology (we’re leaving that to someone else), but we’re doing the next best thing: we’re watching it and playing bingo! What better way to celebrate this groundbreaking show than to gather with fellow Twin Peaks lovers and play a damn fine game of bingo!",http://videologybarandcinema.com/events/twin-peaks-bingo/,,,Videology,"308 Bedford Ave. Brooklyn, NY 11249",40.7138782,-73.9619375
10/2/2015,10/2/2015,23:59:00,1:32:00,0,,,,,,,,$5 Midnights - The Brood,"Calling all insomniacs! If you’re looking for some late night entertainment, keep up with all our midnight screenings here!","David Cronenberg’s THE BROOD is the inaugural film in our new $5 MIDNIGHTS series!
“It’s Cronenberg’s Kramer vs. Kramer – although [Kramer] never featured dwarfish homicidal psychopaths amongst its methods for bridging irreconcilable differences.” Anton Bitel, Movie Gazette
A man tries to uncover an unconventional psychologist’s therapy techniques on his institutionalized wife, while a series of brutal attacks committed by a brood of mutant children coincides with the husband’s investigation.
Oliver Reed channeling L. Ron Hubbard. Cronenberg channeling Satan.
Courtesy of Janus Films!
THE BROOD, 92min, Rated R, 21+ only",http://videologybarandcinema.com/events/the-brood/,5,1,Videology,"308 Bedford Ave. Brooklyn, NY 11249",40.7138782,-73.9619375
09/28/2015,09/28/2015,21:00:00,23:00:00,0,,,,,,,,Free Rooftop Movies - Predator (1987),"Celebrate the great outdoors like a true New Yorker: in front of a big screen. To add to your fun-filled summer in the city, we bring you the skint’s 2015 Free Outdoor Summer Movies Guide!",,http://www.theskint.com/guide-free-outdoor-movies-all-summer-long/,0,0,our wicked lady,"153 Morgan Ave, New York",40.70937,-73.933333
10/03/2015,10/03/2015,10:00:00,12:30:00,0,,,,,,,,NYC Craft Coffee Festival,"An immersive coffee experience when the NYC Craft Coffee Festival kicks off Saturday, October 3, 2015","Get ready for an immersive coffee experience when the NYC Craft Coffee Festival kicks off Saturday, October 3, 2015. Twenty specially curated roasters and coffee shops share with you unique beans and flavor profiles with a soundtrack provided by live entertainment at Villain in Williamsburg.  This is a fun environment for true coffee enthusiasts with a strictly limited ticket capacity.  Think about your ideal coffee event experience: this is it.
You’ll have the chance to sample 20 roasters and coffee shops to your heart's content while live entertainment keeps the party spirited during this one of a kind experience.
The NYC Craft Coffee Festival is the official kickoff to NYC Coffee Week™.",http://www.nyccraftcoffeefest.com/,35,0,Villain,"50 North 3rd Street, Brooklyn, New York 11249",40.7177441,-73.9639422
10/03/2015,10/03/2015,14:00:00,16:30:00,0,,,,,,,,NYC Craft Coffee Festival,"An immersive coffee experience when the NYC Craft Coffee Festival kicks off Saturday, October 3, 2015","Get ready for an immersive coffee experience when the NYC Craft Coffee Festival kicks off Saturday, October 3, 2015. Twenty specially curated roasters and coffee shops share with you unique beans and flavor profiles with a soundtrack provided by live entertainment at Villain in Williamsburg.  This is a fun environment for true coffee enthusiasts with a strictly limited ticket capacity.  Think about your ideal coffee event experience: this is it.
You’ll have the chance to sample 20 roasters and coffee shops to your heart's content while live entertainment keeps the party spirited during this one of a kind experience.
The NYC Craft Coffee Festival is the official kickoff to NYC Coffee Week™.",http://www.nyccraftcoffeefest.com/,35,0,Villain,"50 North 3rd Street, Brooklyn, New York 11249",40.7177441,-73.9639422
